BuildingGuid,BuildingName,Street,HouseNumber,City,PostalCode,Region,Country,Continent
52402f2f-cff4-4c7b-b786-11f8cdca3d1d,书香门第四号楼,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49dcf444-2aa6-4dfb-a0d5-1943b643167f,锦尚城18幢,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2346bc56-a344-4fde-8900-2b687aa0f103,青原区（雷家安置房）6栋,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7d080b97-f706-49c7-af9a-2e5429928867,车公庄西路38号院4号楼,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4d0ef603-07d0-4016-a8f2-36c370e4713b,玉龙湾花园25幢,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d52acb29-6a64-4cf0-854b-3792f4c9a80c,金湖春天小区6幢,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5302ca29-6e5c-4fa0-bebc-509fe3fcb6dc,西山社区112幢,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72b55836-4174-437d-96ef-50db7d40fb73,慈云寺,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a7c9b0f5-7d8b-467c-9243-555ec29d7995,滨湖小区3号楼,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0bc2e770-2508-4610-a561-789276a7b1e3,昌润莲城15号楼,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d95841bb-ef24-4f46-b099-80280676516e,托斯长纳B2栋,NULL,NULL,NULL,NULL,NULL,NULL,NULL
029e1006-a05b-4f79-a0a8-8aff4ae683ad,太仓港须弥仓库,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4243c27-8a6b-4bd7-b5de-8b0976e519a3,天山二村124号,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a8d31b58-0fae-4252-974f-8b33eb7fc953,金桂院南区12幢,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d9cbc6b1-49f9-4e51-b0ff-92c3ad8c6688,竹园小区16栋,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2ba58482-d05d-429a-93cd-ab31c5c80463,成都市,NULL,NULL,NULL,NULL,NULL,NULL,NULL
e8d0e2b0-697a-40bb-bf43-c9cfb7b91dbf,苏州市,NULL,NULL,NULL,NULL,NULL,NULL,NULL
eb330269-4d5b-4fbd-919a-d09a08328d81,西九六夼村1680号5号楼,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d65c3131-918a-46ab-8175-d0d47aa11347,信诚嘉园3栋,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10fc911d-e0e2-4693-af9b-ff3cec31257f,重庆中路690号12号楼,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c4db3146-9b45-4e94-8d46-e9d4c5cda10f,SCF-3952-097,NULL,NULL,NULL,NULL,China,Anhui,Asia
732eec67-fa4c-43cf-aa04-d1c09ff439ae,平山新村1栋,NULL,NULL,NULL,NULL,China,Anhui,Asia
a9d475c9-6e6d-42e9-b5b9-bd4ef538fb13,名邦国际花都21栋,NULL,NULL,NULL,NULL,China,Anhui,Asia
6a6b8b08-3c25-4637-a50f-bd7864282d1c,金色城品小区4栋,NULL,NULL,NULL,NULL,China,Anhui,Asia
36942e54-1cc8-4b7e-b73d-9dc268e903be,明珠小区1栋,NULL,NULL,NULL,NULL,China,Anhui,Asia
255a564f-ee14-4f14-956e-80fd4bbc9dc3,海棠花园小区17栋,NULL,NULL,NULL,NULL,China,Anhui,Asia
3a2850a2-0e97-41a7-a982-89798443758e,鼎鑫幸福城17栋,NULL,NULL,NULL,NULL,China,Anhui,Asia
01e9dbdd-b3af-4544-b18b-7b5d2b7b47b0,王大郢家园沁苑14幢,NULL,NULL,NULL,NULL,China,Anhui,Asia
671817f6-96b6-4a27-9e78-7da8b79a9373,上峰上城一栋,NULL,NULL,NULL,NULL,China,Anhui,Asia
4e7512e9-4257-4182-82f0-5b385f468c02,民航家园3幢,NULL,NULL,NULL,NULL,China,Anhui,Asia
022e0970-7307-4b2e-8bd7-5e39bf3d84c6,金都华庭22栋,NULL,NULL,NULL,NULL,China,Anhui,Asia
d21f121d-999e-4ee9-8fb5-68c070745808,广电局宿舍,NULL,NULL,NULL,NULL,China,Anhui,Asia
9072c030-a5fd-4b35-a3dc-3926bc552256,SCF-3910-084,NULL,NULL,NULL,NULL,China,Anhui,Asia
1b8d29a6-8343-4ce1-9220-110351dde62d,香榭花城32号楼,NULL,NULL,NULL,NULL,China,Anhui,Asia
e2d8a922-ae51-4aec-b6d1-0266c223cd88,长亭巷小区1-1号2幢,NULL,NULL,NULL,NULL,China,Anhui,Asia
854575dc-8b93-4220-95ed-04a1aa8ab9ec,上谷大观A座,NULL,NULL,NULL,NULL,China,Anhui,Asia
8e399bea-c480-45a0-ad9f-071400af3ac3,玉兰庭2西幢,NULL,NULL,NULL,NULL,China,Anhui,Asia
d07f9ceb-bba1-40e7-9db8-0bc96d86656c,兴业大厦1-1301,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
655d4da9-c794-453b-8d67-1a380a057e05,绿城桂语江南11号楼,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
3155fb5d-0f36-44bf-9ed1-1dce1ffeccb3,太湖新村3栋,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
b284b505-7660-4b11-b624-744a9bc30f59,星隆国际城3楼（A座写字楼）,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
45cf9355-3322-4e51-af35-8fa3d7880d74,祥源一期g6幢,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
1e0dd4bb-eac3-4615-a781-95b6736bf39f,滨湖苑小区2栋,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
9d8a463c-5fa0-4124-8e38-98cb71e4aa42,东方蓝海小区F区4栋,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
544192b9-2c0d-4320-9ae8-9ba5be459c5d,尚城C区0005幢,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
fc5b1f14-d21b-40d2-b247-af0c51c7d7e0,新城文昌花园15栋,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
309ffcb4-dd7b-474d-bce8-b7e78acadb9a,山湖花园21栋,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
b9a18290-acfb-4aad-a30b-c920b1e8f9b9,家和花园17栋,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
50cdb030-32d0-4325-9f48-d7d757cd5faa,安德大厦南楼,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
eababdc6-1242-40f9-a279-d9e555c97056,宿州市,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
205cdd11-1541-4ca9-adfc-f81730556b1d,兴业大厦1-1302,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
1257d21a-089e-49c1-9798-ef5a7d677d41,和雅阁2幢,NULL,NULL,NULL,NULL,China,Anhui Sheng,Asia
718ac74b-83cc-4ac5-9db6-30ce000b477f,DRAGO MANOUKIAN- - -1377 1379,B. QUINQUELA MARTIN,1160,C. A. B. A.,1167,Argentina,Argentina,South America
824d48ce-15bf-4653-939e-0a45294a4ae2,QLD Gold Coast Office- - -1510 1512,Newheath Drive,53,Arundel,4214,Australia,Australia,Australia and Oceania
98de19b2-e733-4697-bf56-7bb67f76adf2,WA Branch Office- - -2051 2053,Hubert Street,2,Belmont,6104,Australia,Australia,Australia and Oceania
